announcement_type,date_of_issue_of_auction_notice,name_of_corporate_debtor,cin_no.,name_of_insolvency_professional,date_of_auction,reserve_price,last_date_of_submission,days_until_submission
Issue of Auction Notice,2024-06-05,R.S.H. AGRO PRODUCTS LIMITED,U15132AS2012PLC012193,SUDHA SARMA,2024-05-28,5850000.0,2024-05-26,-408
Issue of Auction Notice,2024-06-05,R.S.H. AGRO PRODUCTS LIMITED,U15132AS2012PLC012193,SUDHA SARMA,2024-05-28,190000.0,2024-05-26,-408
Issue of Auction Notice,2024-06-05,Sri Lakshmi Saraswathi Spintex Limited,U17120TN2010PLC078474,Mr. Prabhu S,2024-06-05,47234000.0,2024-06-03,-400
Issue of Auction Notice,2024-05-05,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-22,581000000.0,2024-05-20,-414
Issue of Auction Notice,2024-05-05,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-22,118000000.0,2024-05-20,-414
Issue of Auction Notice,2024-05-05,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-22,108500000.0,2024-05-20,-414
Issue of Auction Notice,2024-05-05,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-23,307500000.0,2024-05-21,-413
Issue of Auction Notice,2024-05-05,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-23,22600000.0,2024-05-21,-413
Issue of Auction Notice,2024-05-05,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-23,35000000.0,2024-05-21,-413
Issue of Auction Notice,2024-04-05,Khaitan Electricals Ltd.,L31909AP1975PLC001949,Mr. Kamalesh Kumar Singhania,2024-06-07,59826000.0,2024-06-05,-398
Issue of Auction Notice,2024-04-05,HANUMANTA ENGINEERING PRIVATE LIMITED (FORMERLY KNOWN AS SRC STEELS PRIVATE LIMITED),U27109WB1998PTC087433,Mr. Sanjit Kumar Nayak,2024-05-31,39419300.0,2024-05-27,-407
Issue of Auction Notice,2024-04-05,Deivaanai Sinter Metals Private Limited,U27203TZ2010PTC016164,Mr. C. Ramasubramaniam,2024-05-12,75717500.0,2024-05-10,-424
Issue of Auction Notice,2024-04-05,CARGO PLANNERS LIMITED,U63013DL2000PLC107868,Ms. Deepika Bhugra Prasad,2024-05-20,5000000.0,2024-05-16,-418
Issue of Auction Notice,2024-04-05,Kohinoor Pulp and Paper Private Limited,U74999WB2008PTC126964,Mr. Krishnaswami C V R,2024-05-29,42999984.0,2024-05-27,-407
Issue of Auction Notice,2024-03-05,Protocol Marine Services Private Limited,U63090MH2001PTC133857,Mr.Harish Kant Kaushik,2024-05-18,32418000.0,2024-05-16,-418
Issue of Auction Notice,2024-03-05,VISA RESOURCES INDIA LIMITED,U52110WB2006PLC111091,Mr. Kapilendra Swain,2024-05-30,34344000.0,2024-05-28,-406
Issue of Auction Notice,2024-03-05,OREN KITCHEN APPLIANCES PRIVATE LIMITED,U28997MH2009PTC193466,Mr. Arvind Gaudana,2024-05-21,120750000.0,2024-05-17,-417
Issue of Auction Notice,2024-03-05,RNM Infra Private Limited,U45400WB2011PTC156973,Mr. Kanakabha Ray,2024-05-30,3900000.0,2024-05-28,-406
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-06,5530000000.0,2024-06-03,-400
Issue of Auction Notice,2024-03-05,Tripurari Properties Private Limited,U70109WB2008PTC125328,Rashmi Chhawchharia,2024-05-31,2573397.0,2024-05-29,-405
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-06,4340000000.0,2024-06-03,-400
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-07,180000000.0,2024-06-04,-399
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-07,9200000.0,2024-06-04,-399
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-07,2770000000.0,2024-06-04,-399
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-07,90700000.0,2024-06-04,-399
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-07,9800000.0,2024-06-04,-399
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-07,1900000.0,2024-06-04,-399
Issue of Auction Notice,2024-03-05,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2024-06-07,7600000.0,2024-06-04,-399
Issue of Auction Notice,2024-02-05,Nanai Dairy Private Limited,U15209MH2009PTC189530,Mr. Prashant Jain,2024-05-28,2520000.0,2024-05-25,-409
Issue of Auction Notice,2024-02-05,NAWA ENGINEERS AND CONSULTANTS PRIVATELIMITED,U74140TG1998PTC028920,Mr. Gonugunta Madhusudhan Rao,2024-05-30,1000000.0,2024-05-27,-407
Issue of Auction Notice,2024-02-05,NAWA ENGINEERS AND CONSULTANTS PRIVATELIMITED,U74140TG1998PTC028920,Mr. Gonugunta Madhusudhan Rao,2024-05-30,230000.0,2024-05-27,-407
Issue of Auction Notice,2024-02-05,GUJARAT METALLIC COAL & COKE LIMITED,L24298WB1992PLC054815,Sanjay Kumar Poddar,2024-05-31,41851270.0,2024-05-27,-407
Addendum,2024-02-05,Hotel Milestonnez India Private Limited,U55101TN2010PTC074489,Amier Hamsa Ali Abbas Rawther,2024-05-15,300000000.0,2024-05-13,-421
Issue of Auction Notice,2024-02-05,Balaji Lifestyle Technologies Private Limited,U52602RJ2008PTC025717,Jai Prakash Rawat,2024-06-01,3495240.0,2024-05-30,-404
Issue of Auction Notice,2024-02-05,R.S. MOTORS PRIVATE LIMITED,U34300RJ1996PTC012935,Jai Prakash Rawat,2024-06-01,1188830.0,2024-05-30,-404
Issue of Auction Notice,2024-02-05,Shivani Trendz Private Limited,U17222MH2012PTC263871,Mr. Gaurav Ashok Adukia,2024-05-27,50900000.0,2024-05-24,-410
Issue of Auction Notice,2024-02-05,Shivani Trendz Private Limited,U17222MH2012PTC263871,Mr. Gaurav Ashok Adukia,2024-05-27,2200000.0,2024-05-24,-410
Issue of Auction Notice,2024-02-05,Shivani Trendz Private Limited,U17222MH2012PTC263871,Mr. Gaurav Ashok Adukia,2024-05-27,8430000.0,2024-05-24,-410
Issue of Auction Notice,2024-02-05,Shivani Trendz Private Limited,U17222MH2012PTC263871,Mr. Gaurav Ashok Adukia,2024-05-27,2200000.0,2024-05-24,-410
Issue of Auction Notice,2024-02-05,Shivani Trendz Private Limited,U17222MH2012PTC263871,Mr. Gaurav Ashok Adukia,2024-05-27,2200000.0,2024-05-24,-410
Issue of Auction Notice,2024-02-05,Shivani Trendz Private Limited,U17222MH2012PTC263871,Mr. Gaurav Ashok Adukia,2024-05-27,2200000.0,2024-05-24,-410
Issue of Auction Notice,2024-02-05,Shivani Trendz Private Limited,U17222MH2012PTC263871,Mr. Gaurav Ashok Adukia,2024-05-27,2200000.0,2024-05-24,-410
Issue of Auction Notice,2024-01-05,SPACEVISION IMPEX PRIVATE LIMITED,U23209DL2004PTC125911,Mr. Rakesh Prasad Khandelwal,2024-05-31,7650000.0,2024-05-28,-406
Corrigendum,2024-01-05,UTM ENGINEERING PRIVATE LIMITED,U14107DL2014PTC270321,Mr. Kanti Mohan Rustagi,2024-05-03,10081476.0,2024-05-01,-433
Issue of Auction Notice,,Swiss Ribbons Private Limited,U17119GJ2003PTC042006,Mr. George Samuel,2024-05-28,2625000.0,2024-05-25,-409
Issue of Auction Notice,,Coastal Energy Private Limited,U52599TN1997PTC037547,Mr. Ramakrishnan Sadasivan,2024-06-04,738000.0,2024-05-31,-403
Issue of Auction Notice,,MITHILANCHAL INDUSTRIES PRIVATE LIMITED,U17120GJ2012PTC069998,Sachin Sinha,2024-05-21,1000000.0,2024-05-18,-416
Issue of Auction Notice,,TELSTAR INDUSTRIES PRIVATE LIMITED,U25209GJ2010PTC059575,Sachin Sinha,2024-05-20,60429429.0,2024-05-17,-417
Addendum,,GVK INDUSTRIES LIMITED,U74999TG1992PLC014388,Mr. Sai Ramesh Kanuparthi,2024-05-25,800800000.0,2024-05-10,-424
Issue of Auction Notice,,Auro Gold Jewellery Private Limited,U51398MH1993PTC074600,Mr. Avil Jerome Menezes,2024-05-27,207207900.0,2024-05-24,-410
Issue of Auction Notice,,VINDHYAVASINI STEEL PRODUCTS PRIVATE LIMITED,U27310MH2011PTC222526,Rajesh Ramesh Kamath,2024-05-30,59065500.0,2024-05-28,-406
Issue of Auction Notice,,AAWRUN FURNISHING MAN-TRA PVT. LTD,U17299WB2005PTC103259,Umesh Poddar,2024-05-28,1103022.0,2024-05-24,-410
Issue of Auction Notice,,WAY 2 HELATH DIAGNOSITCS PRIVATE LIMITED,U85190MH2014PTC253002,Mr. Kanhaiya Maheshwari,2024-05-29,13500000.0,2024-05-27,-407
Issue of Auction Notice,,TALWALKARS BETTER VALUE FITNESS LIMITED,L92411MH2003PLC140134,Gajesh Labhchand Jain,2024-05-27,121129210.0,2024-05-24,-410
Issue of Auction Notice,,C and C Construction Limited,L45201DL1996PLC080401,Mr. Navneet Kumar Gupta,2024-05-30,1350000000.0,2024-05-26,-408
Issue of Auction Notice,,G S OILS LIMITED,U15143TG1997PLC028321,Mr. Gonugunta Murali,2024-05-29,202500000.0,2024-05-26,-408
Issue of Auction Notice,,BHADRAVATI BALAJI OIL PALMS LIMITED,U85110KA1991PLC012655,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-16,166570000.0,2024-05-14,-420
Issue of Auction Notice,,MAQDOOM MOGHNY ENTERPRISES PRIVATE LIMITED,U74900TG2011PTC077682,Mr. Sreedhar Nukala,2024-05-11,1530900.0,2024-05-09,-425
Issue of Auction Notice,,Aaj Ka Anand Papers Limited,U22110MH1993PLC034813,Mr. Jitender Kumar Jain,2024-05-31,202678443.0,2024-05-29,-405
Issue of Auction Notice,,Siddharth Natural Food Resources Private Limited,U15209GA2007PTC005490,Mr. Hari Kishan Bhoklay,2024-05-24,26616720.0,2024-05-22,-412
Issue of Auction Notice,,Nayak Infrastructure Private Limited,U74210AS2007PTC008539,SUDHA SARMA,2024-05-20,36815000.0,2024-05-17,-417
Issue of Auction Notice,,Capacite Structures Limited,U29110MH1996PLC099745,Gajesh Labhchand Jain,2024-05-27,0.0,2024-05-27,-407
Issue of Auction Notice,,SPGGLOBAL DISTRIBUTION PRIVATE LIMITED,U52100HR2011PTC043937,CA Pramod Kumar Misra,2024-05-31,18602400.0,2024-05-29,-405
Issue of Auction Notice,,VIJAI SPINNERS (RJPM )PRIVATE LIMITED,U17125TN2013PTC092173,Mr. Arumugam Arumugam,2024-05-14,100000000.0,2024-05-12,-422
Issue of Auction Notice,,Stan Autos Private Limited,U74899DL1991PTC044879,Mr. Vijay Kishore Saxena,2024-05-23,1285000.0,2024-05-20,-414
Issue of Auction Notice,,DPD Industries Limited,U15400PB2009PLC033380,Mr. Gautam Mittal,2024-05-24,27709148.0,2024-05-22,-412
Corrigendum,,Sandhya Prakash Limited,U22121MP2002PLC015029,Mr. Devendra Jain,2024-05-14,470000000.0,2024-05-10,-424
Issue of Auction Notice,,PERFECT INTERNATIONAL FABRICATORS PRIVATE LIMITED,U74992TN2006PTC061625,Ms. Sripriya Kumar,2024-05-13,253976.0,2024-05-09,-425
Issue of Auction Notice,,GULATI RETAIL INDIA LIMITED,U52599DL2006PLC156654,Mr. Arun Chadha,2024-05-29,6500000.0,2024-05-25,-409
Issue of Auction Notice,,Reliable Finance Corpn Private Limited,U74899DL1956PTC002640,Mr. Satyendra Sharma,2024-05-21,168166572.73,2024-05-19,-415
Corrigendum,,Ultimo Fabrics Private Limited,U74110MH2015PTC269395,Ms. Mrudula Cletus Brodie,2024-05-09,40000000.0,2024-05-07,-427
Issue of Auction Notice,,ANURAG MULTIPURPOSE COLDSTORAGE PRIVATE LIMITED,U74900WB2013PTC195337,Ms. Sneh Maheswari,2024-05-17,7620000.0,2024-05-15,-419
Issue of Auction Notice,,Pandhari Milk Private Limited,U74999PN2014PTC151510,Mr. Prashant Jain,2024-05-23,66722417.0,2024-05-21,-413
Issue of Auction Notice,,BEVCON WAYORS PRIVATE LIMITED,U29210TG1994PTC018656,Mr. Venkat Narsinga Rao Kalvakota,2024-05-18,191348000.0,2024-05-15,-419
Issue of Auction Notice,,GREENWORLD INTERNATIONAL PRIVATE LIMITED,U37100DL2012PTC243731,Mr. Sunil Kumar Gupta,2024-05-27,13510444.0,2024-05-24,-410
Issue of Auction Notice,,VISA RESOURCES INDIA LIMITED,U52110WB2006PLC111091,Mr. Kapilendra Swain,2024-05-13,38160000.0,2024-05-11,-423
Issue of Auction Notice,,IMP POWERS LIMITED,L31300DN1961PLC000232,Ravindra Kumar Goyal,2024-05-21,780000000.0,2024-05-17,-417
Issue of Auction Notice,,SUNSHINE INFRABUILD CORPORATION LIMITED,U45400DL2008PLC183645,Mr. Pawan Kumar Goyal,2024-05-27,16000000.0,2024-05-25,-409
Issue of Auction Notice,,SREE BHADRA PARKS AND RESORTS LIMITED,U55102KL1998PLC012533,Mr. K. Parameswaran Nair,2024-05-18,5580131.0,2024-05-15,-419
Issue of Auction Notice,,BIL Infratech Limited,U45400WB2010PLC151807,Mr. Subodh Kumar Agrawal,2024-05-21,94500000.0,2024-05-18,-416
Issue of Auction Notice,,BIL Infratech Limited,U45400WB2010PLC151807,Mr. Subodh Kumar Agrawal,2024-05-21,63000000.0,2024-05-18,-416
Issue of Auction Notice,,BIL Infratech Limited,U45400WB2010PLC151807,Mr. Subodh Kumar Agrawal,2024-05-21,60000000.0,2024-05-18,-416
Issue of Auction Notice,,PR Castalloys Private Limited,U29254MH2012PTC236621,SANJAY RAMDAS MAHAJAN,2024-05-20,1829337.0,2024-05-17,-417
Issue of Auction Notice,,WEB TECH PACKAGINGS (INDIA) PRIVATE LIMITED,U25202DL1998PTC092055,Ms. Ashu Gupta,2024-05-24,3580902.0,2024-05-22,-412
Issue of Auction Notice,,WEB TECH PACKAGINGS (INDIA) PRIVATE LIMITED,U25202DL1998PTC092055,Ms. Ashu Gupta,2024-05-24,26968.0,2024-05-22,-412
Issue of Auction Notice,,WEB TECH PACKAGINGS (INDIA) PRIVATE LIMITED,U25202DL1998PTC092055,Ms. Ashu Gupta,2024-05-24,2081941.0,2024-05-22,-412
Issue of Auction Notice,,Unity Infraprojects Limited,L99999MH1997PLC107153,Mr. Alok Kailash Saksena,2024-05-22,28729611.0,2024-05-18,-416
Issue of Auction Notice,,Auto Friction Components India Private Ltd,U34300KL1972PTC002468,Mr. Raju Palanilkunnathil Kesavan,2024-05-23,38475000.0,2024-05-21,-413
Addendum,,Max Flex & Imaging Systems Limited.,U92112MH2002PLC137690,Mr. Fanendra Harakchand Munot,2024-05-06,100213200.0,2024-05-03,-431
Issue of Auction Notice,,NAKODA LIMITED,L17111GJ1984PLC045995,Ravindra Kumar Goyal,2024-05-06,2127456000.0,2024-05-03,-431
Issue of Auction Notice,,EMPEE SUGARS AND CHEMICALS LIMITED,L24110AP1988PLC009291,Mr. Pankaj Srivastava,2024-05-18,170000000.0,2024-05-16,-418
Issue of Auction Notice,,Kharewali Steel Private Limited,U27300MH1994PTC077564,Mr. Vikram Bhatnagar,2024-05-20,89700000.0,2024-05-18,-416
Issue of Auction Notice,,EMPEE SUGARS AND CHEMICALS LIMITED,L24110AP1988PLC009291,Mr. Pankaj Srivastava,2024-01-08,170000000.0,2024-01-06,-549
Issue of Auction Notice,,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-22,770000000.0,2024-05-20,-414
Issue of Auction Notice,,SCOTTS GARMENTS LIMITED,U18101KA2002PLC030185,Mr. Madhugiri Venkatarayappa Sudarshan,2024-05-22,30000000.0,2024-05-20,-414
Issue of Auction Notice,,Ambica Polad Private Limited,U27100MH2009PTC192432,Mr. Dinesh Kumar Aggarwal,2024-05-20,44600000.0,2024-05-17,-417
Issue of Auction Notice,,R J BIO-TECH LIMITED,L24234MH2005PLC158420,Mr.Harish Kant Kaushik,2024-05-15,34300000.0,2024-05-13,-421
Issue of Auction Notice,,Trimurti Corns Agro Foods Private Limited,U01122PN2007PTC130527,Anil Kashi Drolia,2024-05-17,70000000.0,2024-05-15,-419
Issue of Auction Notice,,SAFE CARGO MOVERS PRIVATE LIMITED,U74999WB2011PTC168764,Mr. Surendra Kumar Agarwal,2024-05-17,30895000.0,2024-05-15,-419
Corrigendum,,Shri Lakshmi Cotsyn Limited,L17122UP1988PLC009985,Mr. Rohit Sehgal,2024-04-26,362000000.0,2024-04-24,-440
Issue of Auction Notice,,UTM ENGINEERING PRIVATE LIMITED,U14107DL2014PTC270321,Mr. Kanti Mohan Rustagi,2024-05-03,10081476.0,2024-05-01,-433
Issue of Auction Notice,,LALIT POLYESTER PRIVATE LIMITED,U99999MH1988PTC045817,Mr. Anil Seetaram Vaidya,2024-05-14,28075842.0,2024-05-10,-424
Addendum,,Ramanand Steel Limited,U27106MH1999PLC119531,Mr. Dushyant C Dave,2024-05-28,49346269.0,2024-05-25,-409
Issue of Auction Notice,,TEXORANGE CORPORATION LIMITED,U17120MH2004PLC147378,Mr. Ritesh Prakash Adatiya,2024-05-17,18649625.0,2024-05-14,-420
Addendum,,RASHMI YARNS LIMITED,U17110GJ1997PLC033075,Mr. Ganesh Venkata Siva Rama Krishna Remani,2024-05-17,65000000.0,2024-05-14,-420
Addendum,,RASHMI YARNS LIMITED,U17110GJ1997PLC033075,Mr. Ganesh Venkata Siva Rama Krishna Remani,2024-05-17,50800000.0,2024-05-14,-420
Addendum,,RASHMI YARNS LIMITED,U17110GJ1997PLC033075,Mr. Ganesh Venkata Siva Rama Krishna Remani,2024-05-17,48500000.0,2024-05-14,-420
Addendum,,RASHMI YARNS LIMITED,U17110GJ1997PLC033075,Mr. Ganesh Venkata Siva Rama Krishna Remani,2024-05-17,11500000.0,2024-05-14,-420
Addendum,,RASHMI YARNS LIMITED,U17110GJ1997PLC033075,Mr. Ganesh Venkata Siva Rama Krishna Remani,2024-05-17,2700000.0,2024-05-14,-420
Issue of Auction Notice,,BUTTA INFRASTRUCTURE PRIVATE LIMITED,U45309TG2017PTC114221,Mr. Gonugunta Murali,2024-05-21,864000000.0,2024-05-18,-416
Corrigendum,,GLOBAL POWERSOURCE (INDIA) PRIVATE LIMITED,U74140MH2006PTC163562,Hetal Gaurang Kothari,2024-05-06,15148309.0,2024-05-03,-431
Issue of Auction Notice,,Bush Tea Co Pvt. Ltd.,U15491WB1972PTC028384,Mr. Santanu Brahma,2024-05-13,652500.0,2024-05-02,-432
Issue of Auction Notice,,Rajprtim Agencies Private Limited,U51109WB2003PTC096541,Mr. Pratim Bayal,2024-05-17,13679854.0,2024-05-14,-420
Issue of Auction Notice,,GVK INDUSTRIES LIMITED,U74999TG1992PLC014388,Mr. Sai Ramesh Kanuparthi,2024-05-15,800800000.0,2024-04-30,-434
Corrigendum,,Dev Denso Power Ltd,U74200DL1997PLC091296,Ms. Pooja Bahry,2024-05-08,8969843.0,2024-05-06,-428
Issue of Auction Notice,,Explo Media Private limited,U74300DL2002PTC117725,Mr. Rakesh Takyar,2024-05-17,133618946.0,2024-05-14,-420
Issue of Auction Notice,,Tripurari Properties Private Limited,U70109WB2008PTC125328,Rashmi Chhawchharia,2024-05-15,2859330.0,2024-05-13,-421
Issue of Auction Notice,,STARLITE JEWELS PRIVATE LIMITED,U36911MH2002PTC136637,Mr. Mahesh Kumar Gupta,2024-05-16,30000000.0,2024-05-13,-421
Issue of Auction Notice,,Coastal Projects Limited,U45203OR1995PLC003982,Mr. Ravi Sankar Devarakonda,2024-05-27,1550000000.0,2024-05-25,-409
Issue of Auction Notice,,Langley Apparel India Private Limited,U18209HR2017PTC068856,Madan Mohan Dhupar,2024-05-25,0.0,2024-05-22,-412
Issue of Auction Notice,,DNB IMPEX PRIVATE LIMITED,U17290GJ2005PTC046386,Ms. Sunil Kumar Kedia,2024-05-10,41020000.0,2024-05-07,-427
Issue of Auction Notice,,SANYOG HEALTHCARE LIMITED,U24232DL1999PLC098564,Mr. Manohar Lal Vij,2024-04-29,0.0,2024-04-29,-435
Issue of Auction Notice,,SHRI GANESH FIRE EQUIPMENTS PRIVATE LIMITED,U29300DL2010PTC204055,Mr. Prabhakar Kumar,2024-05-20,0.0,2024-05-18,-416
Issue of Auction Notice,,HALLMARK LIVING SPACE PRIVATE LIMITED,U45400TN2012PTC084362,Mr. S.Dhanapal,2024-05-09,750000000.0,2024-05-07,-427
Issue of Auction Notice,,SILVEROAK COMMERCIALS LIMITED,L31504MH1985PLC035916,Mr. Harshad Deshpande,2024-05-08,4894291.0,2024-05-06,-428
Issue of Auction Notice,,Map Refoils India Limited,U15122GJ2015PLC081840,Mukesh R. Dayani,2024-05-04,369874000.0,2024-05-01,-433
Issue of Auction Notice,,SSMP INDUSTRIES LTD,U51909DL2007PLC168784,Mr. Yogesh Sethi,2024-04-26,66000000.0,2024-04-22,-442
Corrigendum,2024-12-04,Samruddhi Realty Limited,L07010KA2003PLC032934,Mr. Pankaj Srivastava,2024-05-11,31300000.0,2024-05-09,-425
Corrigendum,2024-12-04,Samruddhi Realty Limited,L07010KA2003PLC032934,Mr. Pankaj Srivastava,2024-05-11,31300000.0,2024-05-09,-425
Corrigendum,2024-12-04,Samruddhi Realty Limited,L07010KA2003PLC032934,Mr. Pankaj Srivastava,2024-05-11,240000000.0,2024-05-09,-425
Corrigendum,2024-12-04,Samruddhi Realty Limited,L07010KA2003PLC032934,Mr. Pankaj Srivastava,2024-05-11,162500000.0,2024-05-09,-425
Corrigendum,2024-12-04,Samruddhi Realty Limited,L07010KA2003PLC032934,Mr. Pankaj Srivastava,2024-05-11,212500000.0,2024-05-09,-425
Issue of Auction Notice,2024-12-04,Gajanan Gangamai Industries LLP,AAC4849,Mr.Kamal Kishor Gurnani,2024-05-13,94340000.0,2024-05-09,-425
Issue of Auction Notice,2024-12-04,Gajanan Solvex Limited,U15147MH2010PLC208730,Mr. Ram Singh Setia,2024-05-06,110000000.0,2024-05-04,-430
Corrigendum,2024-12-04,MANTHAN BROADBAND SERVICES PRIVATE LIMITED,U64203WB2002PTC094700,Mr. Kuldeep Verma,2024-05-10,201925350.0,2024-05-07,-427
Issue of Auction Notice,2024-12-04,Gujarat NRE Coke Limited,L51909WB1986PLC040098,Mr. Sumit Binani,2024-05-10,480907578.0,2024-05-07,-427
Issue of Auction Notice,2024-12-04,SNNEHA NATURAL WORLD PRIVATE LIMITED,U74999MH2008PTC187325,Mr. Ravindra Chaturvedi,2024-05-15,61000000.0,2024-05-13,-421
Issue of Auction Notice,2024-12-04,EXCEL GLASSES LTD,L26109KL1970PLC002289,Mr. Ravindra Chaturvedi,2024-05-15,9270000.0,2024-05-13,-421
Issue of Auction Notice,2024-12-04,EURO CERAMICS LIMITED,L26914MH2002PLC135548,Mr. Premraj Ramratan Laddha,2024-05-07,440000000.0,2024-05-04,-430
Issue of Auction Notice,2024-12-04,EURO CERAMICS LIMITED,L26914MH2002PLC135548,Mr. Premraj Ramratan Laddha,2024-05-07,40969800.0,2024-05-04,-430
Issue of Auction Notice,2024-12-04,Hotel Milestonnez India Private Limited,U55101TN2010PTC074489,Amier Hamsa Ali Abbas Rawther,2024-05-15,300000000.0,2024-05-13,-421
Issue of Auction Notice,2024-11-04,Ultimo Fabrics Private Limited,U74110MH2015PTC269395,Ms. Mrudula Cletus Brodie,2024-04-25,40000000.0,2024-04-23,-441
Issue of Auction Notice,2024-11-04,MANTHAN BROADBAND SERVICES PRIVATE LIMITED,U64203WB2002PTC094700,Mr. Kuldeep Verma,2024-05-10,201925350.0,2024-05-07,-427
Issue of Auction Notice,2024-11-04,SV SVS PROJECTS PRIVATE LIMITED,U74999TG2005PTC045773,GOLLA RAMAKANTHA RAO,2024-05-02,235280000.0,2024-04-30,-434
Issue of Auction Notice,2024-11-04,Genrx Pharmaceuticals Private Limited,U33119MH2009PTC198122,Mr. Rajesh Kumar Mittal,2024-05-09,140000000.0,2024-05-07,-427
Addendum,2024-11-04,Sandhya Prakash Limited,U22121MP2002PLC015029,Mr. Devendra Jain,2024-04-26,470000000.0,2024-04-25,-439
Corrigendum,2024-10-04,Aster Private Limited,U32204TG1998PTC029457,Mr. Naren Sheth,2024-04-29,467800000.0,2024-04-27,-437
Issue of Auction Notice,2024-10-04,NUCLEUS SATELLITE COMMUNICATIONS (MADRAS) PRIVATE LIMITED,U74999TN1997PTC038400,Mr. Ramakrishnan Sadasivan,2024-05-15,225300000.0,2024-05-11,-423
Issue of Auction Notice,2024-10-04,NUCLEUS SATELLITE COMMUNICATIONS (MADRAS) PRIVATE LIMITED,U74999TN1997PTC038400,Mr. Ramakrishnan Sadasivan,2024-05-15,225300000.0,2024-05-11,-423
Issue of Auction Notice,2024-10-04,NUCLEUS SATELLITE COMMUNICATIONS (MADRAS) PRIVATE LIMITED,U74999TN1997PTC038400,Mr. Ramakrishnan Sadasivan,2024-05-15,59000000.0,2024-05-11,-423
Issue of Auction Notice,2024-10-04,NUCLEUS SATELLITE COMMUNICATIONS (MADRAS) PRIVATE LIMITED,U74999TN1997PTC038400,Mr. Ramakrishnan Sadasivan,2024-05-15,166300000.0,2024-05-11,-423
Addendum,2024-10-04,INDO INTERNATIONAL TOBACCO LIMITED,U16000DL2017PLC317682,Mr. Umesh Garg,2024-04-24,3507300.0,2024-04-22,-442
Issue of Auction Notice,2024-09-04,HIKE LEATHER PRIVATE LIMITED,U19200PB2007PTC031322,JATIN MEHRA,2024-04-29,18190000.0,2024-04-26,-438
Issue of Auction Notice,2024-09-04,Alps Liesure Holidays Private Limited,U63040GJ2005PTC045256,Mr. Vinodkumar Surendralal Shah,2024-05-10,126000000.0,2024-05-08,-426
Issue of Auction Notice,2024-09-04,GLOBAL POWERSOURCE (INDIA) PRIVATE LIMITED,U74140MH2006PTC163562,Hetal Gaurang Kothari,2024-05-05,15148309.0,2024-05-03,-431
Issue of Auction Notice,2024-09-04,EBC BEARINGS (INDIA) LIMITED,U29130AP2006PLC050197,Gullapalli Kishore Babu,2024-05-02,1821000.0,2024-04-26,-438
Issue of Auction Notice,2024-08-04,Bilpower Limited,L51420MH1989PLC053772,Mr. Gonugunta Madhusudhan Rao,2024-05-02,4350000.0,2024-04-29,-435
Issue of Auction Notice,2024-08-04,BARD ROY INFOTECH PVT. LTD.,U72200WB1995PTC075654,Mr. Chhedi Rajbhar,2024-05-12,6667262.0,2024-05-10,-424
Issue of Auction Notice,2024-06-04,SR MARINE FOODS PRIVATE LIMITED,U51223TN2010PTC077129,K.J.VINOD,2024-05-08,26390000.0,2024-05-06,-428
Issue of Auction Notice,2024-06-04,Elexir Distributors Private Limited,U51109MH1998PTC295901,Ms. Nishi Jain,2024-05-06,2073000.0,2024-04-25,-439
Issue of Auction Notice,2024-06-04,PPS Enviro Power Pvt Ltd,U40106TG2002PTC048720,Kallat Vatsa Kumar,2024-05-10,598800000.0,2024-05-08,-426
Addendum,2024-06-04,Kohinoor Pulp and Paper Private Limited,U74999WB2008PTC126964,Mr. Krishnaswami C V R,2024-04-10,40000000.0,2024-04-08,-456
