announcement_type,date_of_issue_of_auction_notice,name_of_corporate_debtor,cin_no.,name_of_insolvency_professional,date_of_auction,reserve_price,last_date_of_submission,days_until_submission
Issue of Auction Notice,,Parekh Aluminex Limited,L27203MH1994PLC080732,Mr. Avil Jerome Menezes,2025-05-26,3500000.0,2025-05-23,-46
Issue of Auction Notice,,DIVYA AGRO CHEM PRIVATE LIMITED,U24219MH2009PTC192776,Palak Swapnil Desai,2025-05-30,9234000.0,2025-05-27,-42
Issue of Auction Notice,,M/s KONASEEMA GAS POWER LIMITED,U40101TG1997PLC037013,Mr. Sai Ramesh Kanuparthi,2025-05-21,2276100000.0,2025-05-19,-50
Issue of Auction Notice,,M/s KONASEEMA GAS POWER LIMITED,U40101TG1997PLC037013,Mr. Sai Ramesh Kanuparthi,2025-05-21,94500000.0,2025-05-19,-50
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,52239641.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,20125.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,12750.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,12750.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,17825.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,28250.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,13125.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,8900.0,2025-05-16,-53
Corrigendum,,BHARAT NRE COKE LTD,U23109WB2003PLC097375,Ms. Varsha Bagri,2025-05-06,1210000000.0,2025-05-02,-67
Corrigendum,,KARUTURI CERMICS PRIVATE LIMITED,U26933AP2010PTC117739,Mr. Naga Bhushan Bhagawati,2025-05-26,81562500.0,2025-05-24,-45
Issue of Auction Notice,,Auro Gold Jewellery Private Limited,U51398MH1993PTC074600,Mr. Avil Jerome Menezes,2025-05-26,26875500.0,2025-05-23,-46
Issue of Auction Notice,,Plutus Infraventures Private Limited,U51432CT2014PTC001546,Mr. Bankim Shukla,2025-05-15,77596425.0,2025-05-12,-57
Issue of Auction Notice,,Plutus Infraventures Private Limited,U51432CT2014PTC001546,Mr. Bankim Shukla,2025-05-15,67561.0,2025-05-12,-57
Issue of Auction Notice,,BSR DIAGNOSTIC LIMITED,U85110CT1994PLC008663,Mr. Hemant Sharma,2025-05-22,3204458.0,2025-05-20,-49
Issue of Auction Notice,,EPITOME PETROCHEMICAL PRIVATE LIMITED,U24249WB2007PTC117196,Anubrata Gangoly,2025-05-23,65000000.0,2025-05-21,-48
Issue of Auction Notice,,BSR DIAGNOSTIC LIMITED,U85110CT1994PLC008663,Mr. Hemant Sharma,2025-05-22,49900000.0,2025-05-20,-49
Issue of Auction Notice,,Sree Bajrang Infracon Private Limited,U45209AS2013PTC011550,Mr. Purshotam Gaggar,2025-05-22,2967800.0,2025-05-20,-49
Issue of Auction Notice,,NAKODA LIMITED,L17111GJ1984PLC045995,Ravindra Kumar Goyal,2025-05-28,1671236000.0,2025-05-24,-45
Issue of Auction Notice,,Kohinoor Ginning and Pressing Pvt Ltd,U17200MH2008PTC187167,Mr. Manoj Kumar Mishra,2025-05-12,109400000.0,2025-05-10,-59
Issue of Auction Notice,,Kohinoor Ginning and Pressing Pvt Ltd,U17200MH2008PTC187167,Mr. Manoj Kumar Mishra,2025-05-12,94800000.0,2025-05-10,-59
Issue of Auction Notice,,Kohinoor Ginning and Pressing Pvt Ltd,U17200MH2008PTC187167,Mr. Manoj Kumar Mishra,2025-05-12,14600000.0,2025-05-10,-59
Addendum,,GVK INDUSTRIES LIMITED,U74999TG1992PLC014388,Mr. Sai Ramesh Kanuparthi,2025-05-01,540000000.0,2025-04-28,-71
Issue of Auction Notice,,BSR DIAGNOSTIC LIMITED,U85110CT1994PLC008663,Mr. Hemant Sharma,2025-05-22,2168927.0,2025-05-20,-49
Issue of Auction Notice,,BSR DIAGNOSTIC LIMITED,U85110CT1994PLC008663,Mr. Hemant Sharma,2025-05-22,4462321.0,2025-05-20,-49
Issue of Auction Notice,,BSR DIAGNOSTIC LIMITED,U85110CT1994PLC008663,Mr. Hemant Sharma,2025-05-22,2306883.0,2025-05-20,-49
Issue of Auction Notice,,H & V ENGINEERING AND CONSTRUCTION PRIVATE LIMITED,U45400MH2012PTC230848,Mr. Anish Gupta,2025-05-15,15050000.0,2025-05-13,-56
Issue of Auction Notice,,Ganga Foundations Private Limited,U45201TN2004PTC054417,Mr. Mahalingam Suresh Kumar,2025-05-08,474600000.0,2025-05-06,-63
Issue of Auction Notice,,Oracle Home Textiles Limited,U70102MH1985PLC036047,Mr.Mahesh Chand Gupta,2025-05-08,37500000.0,2025-05-05,-64
Issue of Auction Notice,,Oracle Home Textiles Limited,U70102MH1985PLC036047,Mr.Mahesh Chand Gupta,2025-05-08,35000000.0,2025-05-05,-64
Issue of Auction Notice,,UGH Vintage Hospital and Medical Research Centre Private Limited,U85110GA1998PTC002553,Mr. Girish Krishna Hingorani,2025-05-27,112628162.0,2025-05-24,-45
Issue of Auction Notice,,G S Biotech Limited,U01403TG2007PLC054391,Mr. Chillale Rajesh,2025-05-16,498100000.0,2025-05-13,-56
Issue of Auction Notice,,SHRI NATH RESEDENCI PRIVATE LIMITED,U70102UP2009PTC038317,ANSHUL SHARMA,2025-05-19,318865.0,2025-05-17,-52
Issue of Auction Notice,,"VEESONS ENERGY SYSTEMS P LTD.,",U29113TN1996PTC036693,Mr. R. Raghavendran,2025-05-23,34545990.0,2025-05-21,-48
Corrigendum,,Salasar EXIM Limited,U51909WB2004PLC098942,Ms. Varsha Bagri,2025-04-30,23520000.0,2025-04-28,-71
Issue of Auction Notice,,STERLING SEZ AND INFRASTRUCTURE LIMITED,U45201MH2006PLC162784,Mr. Avil Jerome Menezes,2025-05-21,3243200000.0,2025-05-19,-50
Issue of Auction Notice,,GLAZE INFRASTRUCTURE PRIVATE LIMITED,U45400WB2008PTC131298,Mr. Krishnaswami C V R,2025-05-09,86000000.0,2025-05-07,-62
Issue of Auction Notice,,VYVA APPARELS (INDIA) PRIVATE LIMITED,U18202MH2012PTC229892,bharati manoj daga,2025-05-05,18906500.0,2025-05-02,-67
Issue of Auction Notice,,VYVA APPARELS (INDIA) PRIVATE LIMITED,U18202MH2012PTC229892,bharati manoj daga,2025-05-05,80512000.0,2025-05-02,-67
Issue of Auction Notice,,VYVA APPARELS (INDIA) PRIVATE LIMITED,U18202MH2012PTC229892,bharati manoj daga,2025-05-05,1842500.0,2025-05-02,-67
Issue of Auction Notice,,Drishti India Limited,U74899DL1994PLC060496,Priyanka Chouhan,2025-05-23,617867100.0,2025-05-21,-48
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-12,394349403.0,2025-05-09,-60
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-13,148469972.0,2025-05-09,-60
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-13,45281000.0,2025-05-09,-60
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-13,36698325.0,2025-05-09,-60
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-13,19348047.0,2025-05-09,-60
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-13,42844170.0,2025-05-09,-60
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-13,116936131.0,2025-05-09,-60
Issue of Auction Notice,,IBD UNIVERSAL PRIVATE LIMITED,U45201MP1999PTC013634,kuldeep tank,2025-05-13,22994783.0,2025-05-09,-60
Issue of Auction Notice,,MAPLE LOGISTICS PRIVATE LIMITED,U63090DL2004PTC123819,Parveen Kumar adlakha,2025-05-23,2019713.0,2025-05-21,-48
Issue of Auction Notice,,WINDALS AUTO PRIVATE LIMITED,U50101MH1990PTC056302,CA Rajan Garg,2025-05-19,217012401.0,2025-05-16,-53
Issue of Auction Notice,,Gupta Coal India Private Limited,U51909MH1989PTC051640,Mr. Abhay Narayan Manudhane,2025-05-02,81730000.0,2025-04-28,-71
Issue of Auction Notice,,GWALIOR POLYPIPES LIMITED,U28939MP1982PLC002072,CHAYA GUPTA,2025-05-21,314245271.55,2025-05-19,-50
Issue of Auction Notice,,AGNIPA ENERGO PRIVATE LIMITED,U40101AS2008PTC008829,SUDHA SARMA,2025-05-23,23118000.0,2025-05-21,-48
Issue of Auction Notice,,AGNIPA ENERGO PRIVATE LIMITED,U40101AS2008PTC008829,SUDHA SARMA,2025-05-23,23118000.0,2025-05-21,-48
Issue of Auction Notice,,Star Trace Private Limited,U51103TN1998PTC041085,Mr. R.Venkatakrishnan,2025-05-22,51640000.0,2025-05-19,-50
Issue of Auction Notice,,EUROTAS INFRASTRUCTURE LIMITED,U70101DL2011PLC214733,Mr. Huzefa Fakhri Sitabkhan,2025-05-26,912500000.0,2025-05-23,-46
Issue of Auction Notice,,EUROTAS INFRASTRUCTURE LIMITED,U70101DL2011PLC214733,Mr. Huzefa Fakhri Sitabkhan,2025-05-26,569500000.0,2025-05-23,-46
Issue of Auction Notice,,SORT INDIA ENVIRO SOLUTIONS LIMITED,U90000GJ2010PLC059257,Mr. Sapan Mohan Garg,2025-05-19,88500000.0,2025-05-16,-53
Issue of Auction Notice,,GEMUS ENGINEERING LTD,U27109WB1996PLC081038,Rashmi Chhawchharia,2025-05-07,3088211.0,2025-04-29,-70
Issue of Auction Notice,,debtone corporate advisory private limited,u74120mh2013ptc246280,MANISH LALJI DAWDA,2025-04-26,30000000.0,2025-04-24,-75
Issue of Auction Notice,,DOSHION WATER UMBRELLA (CUDDALORE) PRIVATE LIMITED,U41000GJ2011PTC064934,Mr. Chirag Rajendra Kumar Shah,2025-05-14,65861483.0,2025-05-12,-57
Issue of Auction Notice,,Shri Lakshmi Cotsyn Limited,L17122UP1988PLC009985,Mr. Rohit Sehgal,2025-05-15,62300000.0,2025-05-12,-57
Issue of Auction Notice,,EAP INFRASTRUCTURES PRIVATE LIMITED,U45205TN2011PTC081758,Mr. Chandrasekhar Sagutoor,2025-05-15,310000.0,2025-05-12,-57
Issue of Auction Notice,,EAP INFRASTRUCTURES PRIVATE LIMITED,U45205TN2011PTC081758,Mr. Chandrasekhar Sagutoor,2025-05-15,1100000.0,2025-05-12,-57
